DS_Name;T;N;p;k;Bin;Cost;SDratio;correl;cancor1;cancor2;fract1;fract2;skewness;kurtosis;Hc;Hx;MCx;EnAtr;NSRatio;Alg_Name;outcome
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;0.0;3.893
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;1.0;5.45
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;2.0;1.791
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;3.0;1.557
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;4.0;3.114
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;5.0;1.868
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;6.0;1.09
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;7.0;0.0
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;8.0;67.655
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;9.0;1.324
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;10.0;5.683
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;11.0;24.057
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;12.0;0.779
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;13.0;0.779
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;14.0;0.467
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;15.0;1.635
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;16.0;3.893
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;17.0;67.655
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;18.0;5.138
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;19.0;0.779
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;20.0;3.893
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;21.0;5.9170000000000025
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;22.0;1.09
0.0;690;690;14;2;4;0;12.623;0.1024;0.7713;?;1.0;?;19.701;125.538;0.9912;23.012;0.113;877.168;193.646;23.0;2.102
1.0;16000;20000;7;2;0;0;10.975;0.1146;0.6109;?;1.0;?;61.012;931.399;0.2893;27.416;0.0495;584.444;543.859;0.0;9.035
1.0;16000;20000;7;2;0;0;10.975;0.1146;0.6109;?;1.0;?;61.012;931.399;0.2893;27.416;0.0495;584.444;543.859;1.0;9.939
1.0;16000;20000;7;2;0;0;10.975;0.1146;0.6109;?;1.0;?;61.012;931.399;0.2893;27.416;0.0495;584.444;543.859;2.0;2.7110000000000003
1.0;16000;20000;7;2;0;0;10.975;0.1146;0.6109;?;1.0;?;61.012;931.399;0.2893;27.416;0.0495;584.444;543.859;3.0;20.781
1.0;16000;20000;7;2;0;0;10.975;0.1146;0.6109;?;1.0;?;61.012;931.399;0.2893;27.416;0.0495;584.444;543.859;4.0;7.228
1.0;16000;20000;7;2;0;0;10.975;0.1146;0.6109;?;1.0;?;61.012;931.399;0.2893;27.416;0.0495;584.444;543.859;5.0;1.807
1.0;16000;20000;7;2;0;0;10.975;0.1146;0.6109;?;1.0;?;61.012;931.399;0.2893;27.416;0.0495;584.444;543.859;6.0;885.438
